step,time,x,y,theta,v,omega,s_progress,active_segment,remaining_tasks,cost
86,17.2,7.084248607448611,7.9575122687243995,-0.43727623415121886,1.1542741550212634,-0.12848357231125154,4.754991701199778,2,2,-12.492889818257757
87,17.4,7.297433834636191,7.857857270652179,-0.5122185989235448,1.1766377918862119,-0.3747118238616297,4.902341661633871,2,2,-10.387390128188827
88,17.6,7.5066320645043705,7.740230315322966,-0.4744176637490883,1.2,0.18900467587228267,5.254253598181921,2,2,-10.888984829485459
89,17.8,7.72012619944318,7.630593394777333,-0.4542321993204504,1.2,0.10092732214318935,5.462740707891878,2,2,-6.257881594003063
90,18.0,7.881381845236918,7.551854594700032,-0.45711244149436586,0.897262251768798,-0.01440121086957742,0.0,3,1,-3.3972314347512604
91,18.2,8.08738723226789,7.450529293683075,-0.1018407035430195,1.1478788711353378,1.7763586897567316,0.15947934099784541,3,1,-13.021422133725743
92,18.4,8.27690350739756,7.4311618197772,0.20878782078932245,0.952516634822189,1.5531426216617097,0.30250091901731535,3,1,-13.18565309342311
93,18.6,8.508720974752425,7.480278266900126,0.3862626740871802,1.184818166943808,0.8873742664892886,0.5448559772648063,3,1,-14.671389181475133
94,18.8,8.729242752180362,7.569962883527936,0.47855916151118805,1.190306523333948,0.46148243712003945,0.7383746908045207,3,1,-13.835349129446168
95,19.0,8.929049425170431,7.673618760883731,0.4518429916103039,1.1254693185707088,-0.1335808495044208,0.9611893426227435,3,1,-14.57298283253243
96,19.2,9.11762825985944,7.765141751790966,0.519481182599873,1.0480748393753951,0.33819095494784523,1.1856444122104715,3,1,-14.588087981376743
97,19.4,9.325261895529016,7.8838818499512495,0.6084281290024144,1.195940399565127,0.4447347320127069,1.4174374835989778,3,1,-15.664244506221612
98,19.6,9.495980625293136,8.002801395941937,0.67250142968157,1.0402733187834086,0.3203665033957782,1.6239821312317677,3,1,-14.821665460698613
99,19.8,9.680799542474563,8.149978939507486,0.7088544451501648,1.1813050143602273,0.18176507734297412,1.8774427542971297,3,1,-15.39979241077039
100,20.0,9.862985483970723,8.30621044312042,0.7004732215281303,1.2,-0.04190611811017246,2.0960430280418327,3,1,-15.865310169512076
101,20.2,10.030218071396822,8.447203844833101,0.6691320464439997,1.0936850280558537,-0.15670587542065303,2.311529189985343,3,1,-15.03465383602134
102,20.4,10.217862718201825,8.595601188800678,0.623301418501924,1.1961635044090502,-0.22915313971037862,2.5850188303169594,3,1,-14.454197196421282
103,20.6,10.411058664356297,8.734490689374727,0.5768429673248012,1.189694992216813,-0.23229225588561367,2.7967532991165043,3,1,-12.476615278781724
104,20.8,10.60755680367775,8.862345263619703,0.5266162956815587,1.172159448541,-0.25113335821621263,3.0637727352597532,3,1,-11.004751188773067
105,21.0,10.762016121111909,8.952144924019104,0.47228882927004584,0.8933316818247563,-0.271637332057564,3.2329947558145413,3,1,-7.898953479732763
106,21.2,10.9166560045366,9.031142502521792,0.48094622464956444,0.8682469544272867,0.04328697689759306,3.434161456161297,3,1,-6.164930599592474
107,21.4,11.030039722299104,9.09030772771938,0.48410268730947786,0.6394605407358663,0.015782313299567054,3.5486255084277563,3,1,-3.4834950079024236
